2021-12-07 17:54:10 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:54:14 INFO  - Check is DemoQA banner displayed
2021-12-07 17:54:14 INFO  - Click widgets button
2021-12-07 17:54:14 INFO  - Click slider button
2021-12-07 17:54:16 INFO  - Click progress bar button
2021-12-07 17:54:16 INFO  - Check is progress bar container is visible
2021-12-07 17:54:16 INFO  - Click start button under progress bar
2021-12-07 17:54:19 INFO  - Click start button under progress bar
2021-12-07 17:55:53 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:55:56 INFO  - Check is DemoQA banner displayed
2021-12-07 17:55:56 INFO  - Click widgets button
2021-12-07 17:55:57 INFO  - Click slider button
2021-12-07 17:55:58 INFO  - Click progress bar button
2021-12-07 17:55:59 INFO  - Check is progress bar container is visible
2021-12-07 17:55:59 INFO  - Click start button under progress bar
2021-12-07 17:56:02 INFO  - Click start button under progress bar
2021-12-07 17:56:18 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:56:21 INFO  - Check is DemoQA banner displayed
2021-12-07 17:56:21 INFO  - Click alerts, Frame & Windows button
2021-12-07 17:56:21 INFO  - Click nested frames button
2021-12-07 17:56:22 INFO  - Check is nested frame form displayed
2021-12-07 17:56:22 INFO  - Switch to parent frame
2021-12-07 17:56:22 INFO  - Get parent frame text
2021-12-07 17:56:22 INFO  - Switch to child iframe by index0
2021-12-07 17:56:22 INFO  - Get child frame text
2021-12-07 17:56:22 INFO  - Switch to default page from frame
2021-12-07 17:56:22 INFO  - Click frame button
2021-12-07 17:56:22 INFO  - Switch iframe by index1
2021-12-07 18:03:04 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 18:03:06 INFO  - Check is DemoQA banner displayed
2021-12-07 18:03:06 INFO  - Click alerts, Frame & Windows button
2021-12-07 18:03:07 INFO  - Click nested frames button
2021-12-07 18:03:07 INFO  - Check is nested frame form displayed
2021-12-07 18:03:07 INFO  - Switch to parent frame
2021-12-07 18:03:07 INFO  - Get parent frame text
2021-12-07 18:03:07 INFO  - Switch to child iframe by index0
2021-12-07 18:03:07 INFO  - Get child frame text
2021-12-07 18:03:07 INFO  - Switch to default page from frame
2021-12-07 18:03:07 INFO  - Click frame button
2021-12-07 18:03:07 INFO  - Switch iframe by index2
2021-12-07 18:03:07 INFO  - Wait for element visible
2021-12-07 18:03:07 INFO  - Get text from frame
2021-12-07 18:03:07 INFO  - Switch to default page from frame
2021-12-07 18:03:07 INFO  - Switch iframe by index2
2021-12-07 18:03:07 INFO  - Wait for element visible
2021-12-07 18:03:07 INFO  - Get text from frame
2021-12-07 18:03:37 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 18:03:40 INFO  - Check is DemoQA banner displayed
2021-12-07 18:03:40 INFO  - Click alerts, Frame & Windows button
2021-12-07 18:03:40 INFO  - Click nested frames button
2021-12-07 18:03:40 INFO  - Check is nested frame form displayed
2021-12-07 18:03:40 INFO  - Switch to parent frame
2021-12-07 18:03:40 INFO  - Get parent frame text
2021-12-07 18:03:40 INFO  - Switch to child iframe by index0
2021-12-07 18:03:40 INFO  - Get child frame text
2021-12-07 18:03:40 INFO  - Switch to default page from frame
2021-12-07 18:03:40 INFO  - Click frame button
2021-12-07 18:03:40 INFO  - Switch iframe by index1
2021-12-07 18:03:40 INFO  - Wait for element visible
2021-12-07 18:03:40 INFO  - Get text from frame
2021-12-07 18:03:40 INFO  - Switch to default page from frame
2021-12-07 18:03:40 INFO  - Switch iframe by index2
2021-12-07 18:04:31 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 18:04:34 INFO  - Check is DemoQA banner displayed
2021-12-07 18:04:35 INFO  - Click alerts, Frame & Windows button
2021-12-07 18:04:35 INFO  - Click nested frames button
2021-12-07 18:04:35 INFO  - Check is nested frame form displayed
2021-12-07 18:04:35 INFO  - Switch to parent frame
2021-12-07 18:04:35 INFO  - Get parent frame text
